1012873,Anchorage,US
1012874,Anderson,US
1012875,Angoon,US
1012876,Atqasuk,US
1012877,Utqiagvik,US
1012878,Bethel,US
1012879,Clear,US
1012880,Cordova,US
1012881,Craig,US
1012882,Delta Junction,US
1012883,Dillingham,US
1012884,Eagle River,US
1012885,Eielson Air Force Base,US
1012886,Elmendorf Air Force Base,US
1012887,Fairbanks,US
1012888,Galena,US
1012889,Girdwood,US
1012890,Glennallen,US
1012891,Gustavus,US
1012892,Haines,US
1012893,Healy,US
1012894,Homer,US
1012895,Hoonah,US
1012896,Juneau,US
1012897,Kenai,US
1012898,Ketchikan,US
1012899,Klawock,US
1012900,Kodiak,US
1012901,Kotzebue,US
1012902,McGrath,US
1012903,Metlakatla,US
1012904,Mountain Village,US
1012905,Nikiski,US
1012906,Nome,US
1012907,North Pole,US
1012908,Palmer,US
1012909,Pelican,US
1012910,Petersburg,US
1012911,Port Lions,US
1012912,Seward,US
1012913,Sitka,US
1012914,Skagway,US
1012915,Soldotna,US
1012916,Saint Paul Island,US
1012917,Tanacross,US
1012918,Thorne Bay,US
1012919,Tok,US
1012920,Tununak,US
1012921,Unalaska,US
1012922,Valdez,US
1012923,Wasilla,US
1012924,Whittier,US
1012925,Wrangell,US
1012926,Yakutat,US
1012927,Abbeville,US
1012928,Adamsville,US
1012929,Addison,US
1012930,Adger,US
1012931,Alabaster,US
1012932,Albertville,US
1012933,Alexander City,US
1012934,Alexandria,US
1012935,Allgood,US
1012936,Alpine,US
1012937,Andalusia,US
1012938,Anniston,US
1012939,Arab,US
1012940,Arlington,US
1012941,Ashford,US
1012942,Ashland,US
1012943,Ashville,US
1012944,Athens,US
1012945,Atmore,US
1012946,Attalla,US
1012947,Auburn,US
1012948,Auburn University,US
1012949,Autaugaville,US
1012950,Axis,US
1012951,Bay Minette,US
1012952,Berry,US
1012953,Bessemer,US
1012954,Birmingham,US
1012955,Blountsville,US
1012956,Boaz,US
1012957,Bremen,US
1012958,Brewton,US
1012959,Brookwood,US
1012960,Brownsboro,US
1012961,Bucks,US
1012962,Buhl,US
1012963,Butler,US
1012964,Calera,US
1012965,Calhoun County,US
1012966,Camden,US
1012967,Carrollton,US
1012968,Centre,US
1012969,Centreville,US
1012970,Chapman,US
1012971,Chelsea,US
1012972,Cherokee,US
1012973,Childersburg,US
1012974,Clanton,US
1012975,Clayton,US
1012976,Clio,US
1012977,Coffeeville,US
1012978,Columbia,US
1012979,Columbiana,US
1012980,Cottondale,US
1012981,Cottonwood,US
1012982,Cowarts,US
1012983,Creola,US
1012984,Crossville,US
1012985,Cullman,US
1012986,Daleville,US
1012987,Daphne,US
1012988,Dauphin Island,US
1012989,Deatsville,US
1012990,Decatur,US
1012991,Demopolis,US
1012992,Dixons Mills,US
1012993,Dothan,US
1012994,Eastaboga,US
1012995,Eclectic,US
1012996,Eight Mile,US
1012997,Elba,US
1012998,Elberta,US
1012999,Enterprise,US
1013000,Eufaula,US
1013001,Eutaw,US
1013002,Evergreen,US
1013003,Excel,US
1013004,Fairfield,US
1013005,Fairhope,US
1013006,Fayette,US
1013007,Florence,US
1013008,Foley,US
1013009,Fruitdale,US
1013010,Fort Deposit,US
1013011,Fort Payne,US
1013012,Fort Rucker,US
1013013,Fulton,US
1013014,Fultondale,US
1013015,Gadsden,US
1013016,Gardendale,US
1013017,Geneva,US
1013018,Glenwood,US
1013019,Goodwater,US
1013020,Gordo,US
1013021,Grand Bay,US
1013022,Graysville,US
1013023,Greensboro,US
1013024,Greenville,US
1013025,Grove Hill,US
1013026,Guin,US
1013027,Gulf Shores,US
1013028,Guntersville,US
1013029,Haleyville,US
1013030,Hamilton,US
1013031,Hanceville,US
1013032,Hartselle,US
1013033,Hatchechubbee,US
1013034,Hayden,US
1013035,Hayneville,US
1013036,Hazel Green,US
1013037,Headland,US
1013038,Heflin,US
1013039,Helena,US
1013040,Hodges,US
1013041,Hope Hull,US
1013042,Huntsville,US
1013043,Huxford,US
1013044,Ider,US
1013045,Jack,US
1013046,Jackson,US
1013047,Jacksonville,US
1013048,Jasper,US
1013049,Jefferson,US
1013050,Kellyton,US
1013051,Killen,US
1013052,Laceys Spring,US
1013053,La Fayette,US
1013054,Lanett,US
1013055,Leeds,US
1013056,Leesburg,US
1013057,Lillian,US
1013058,Lincoln,US
1013059,Linden,US
1013060,Lineville,US
1013061,Livingston,US
1013062,Loachapoka,US
1013063,Locust Fork,US
1013064,Loxley,US
1013065,Luverne,US
1013066,Madison,US
1013067,Marion,US
1013068,Mathews,US
1013069,Millport,US
1013070,Millry,US
1013071,Mobile,US
1013072,Monroeville,US
1013073,Montevallo,US
1013074,Montgomery,US
1013075,Montrose,US
1013076,Morris,US
1013077,Moulton,US
