"1013370","Ajo","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013371","Alpine","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013372","Amado","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013374","Arizona City","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013375","Ash Fork","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013376","Avondale","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013377","Benson","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013378","Bisbee","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013379","Buckeye","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013380","Bullhead City","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013381","Camp Verde","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013382","Carefree","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013386","Central","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013388","Chinle","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013389","Chino Valley","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013390","Clarkdale","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013391","Clifton","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013392","Cochise","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013393","Colorado City","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
"1013394","Congress","US","(not set)","Arizona","The Southwest","(610) 288-0965","Surprise,Glendale,Goodyear,Buckeye,Litchfield Park,Phoenix,Peoria,Avondale,Carefree,Scottsdale,Tempe,Mesa,Chandler,Phoenix,Gilbert,Apache Junction,Queen Creek,Maricopa,Casa Grande"
