"1012933","Alexander City","Alexander City,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Alexander City","AL","(not set)","(not set)"
"9012450","Alexander City","35010,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Alexander City","AL","(not set)","(not set)"
"1012935","Allgood","Allgood,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Allgood","AL","(not set)","(not set)"
"1012938","Anniston","Anniston,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Anniston","AL","(not set)","(not set)"
"9012836","Anniston","36201,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Anniston","AL","(not set)","(not set)"
"9012839","Anniston","36206,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Anniston","AL","(not set)","(not set)"
"9012840","Anniston","36207,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Anniston","AL","(not set)","(not set)"
"1012944","Athens","Athens,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Athens","AL","(not set)","(not set)"
"9012652","Athens","35611,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Athens","AL","(not set)","(not set)"
"1012945","Atmore","Atmore,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Atmore","AL","(not set)","(not set)"
"9012922","Atmore","36502,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Atmore","AL","(not set)","(not set)"
"1012953","Bessemer","Bessemer,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Bessemer","AL","(not set)","(not set)"
"9012454","Bessemer","35020,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Bessemer","AL","(not set)","(not set)"
"9012455","Bessemer","35022,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Bessemer","AL","(not set)","(not set)"
"1012954","Birmingham","Birmingham,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012545","Birmingham","35204,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012546","Birmingham","35205,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012547","Birmingham","35206,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012548","Birmingham","35207,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012549","Birmingham","35208,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012550","Birmingham","35209,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012551","Birmingham","35210,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012552","Birmingham","35211,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012554","Birmingham","35213,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012555","Birmingham","35214,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012556","Birmingham","35215,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012557","Birmingham","35216,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012558","Birmingham","35217,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012561","Birmingham","35222,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012562","Birmingham","35223,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012563","Birmingham","35224,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012564","Birmingham","35226,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012565","Birmingham","35228,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012567","Birmingham","35233,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012568","Birmingham","35234,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012570","Birmingham","35242,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012571","Birmingham","35243,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"9012572","Birmingham","35244,Alabama,United States","21133","US","Postal Code","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Birmingham","AL","(not set)","(not set)"
"1012970","Chapman","Chapman,Alabama,United States","21133","US","City","Active","(not set)","94","(not set)","(not set)","(not set)","(not set)","Chapman","AL","(not set)","(not set)"
"1012974","Clanton","Clanton,Alabama,United States","21133","US","City","Active","(not set)","217","(not set)","(not set)","(not set)","(not set)","Clanton","AL","(not set)","(not set)"
"9012466","Clanton","35045,Alabama,United States","21133","US","Postal Code","Active","(not set)","217","(not set)","(not set)","(not set)","(not set)","Clanton","AL","(not set)","(not set)"
