35006,94,Alabama Pest,17,Prestox,iRIS,Adger,AL,3099,yes,Presto-X
35011,94,Alabama Pest,17,Prestox,iRIS,Alexander City,AL,0,yes,Presto-X
35013,94,Alabama Pest,17,Prestox,iRIS,Allgood,AL,43,yes,Presto-X
35014,94,Alabama Pest,17,Prestox,iRIS,Alpine,AL,4077,yes,Presto-X
35015,94,Alabama Pest,17,Prestox,iRIS,Alton,AL,0,yes,Presto-X
35016,94,Alabama Pest,17,Prestox,iRIS,Arab,AL,15997,yes,Presto-X
35019,94,Alabama Pest,17,Prestox,iRIS,Baileyton,AL,2358,yes,Presto-X
35021,94,Alabama Pest,17,Prestox,iRIS,Bessemer,AL,0,yes,Presto-X
35023,94,Alabama Pest,17,Prestox,iRIS,Bessemer,AL,25049,yes,Presto-X
35032,94,Alabama Pest,17,Prestox,iRIS,Bon Air,AL,76,yes,Presto-X
35033,94,Alabama Pest,17,Prestox,iRIS,Bremen,AL,3532,yes,Presto-X
35034,94,Alabama Pest,17,Prestox,iRIS,Brent,AL,4804,yes,Presto-X
35035,94,Alabama Pest,17,Prestox,iRIS,Brierfield,AL,1203,yes,Presto-X
35036,94,Alabama Pest,17,Prestox,iRIS,Brookside,AL,294,yes,Presto-X
35038,94,Alabama Pest,17,Prestox,iRIS,Burnwell,AL,0,yes,Presto-X
35041,94,Alabama Pest,17,Prestox,iRIS,Cardiff,AL,0,yes,Presto-X
35042,94,Alabama Pest,17,Prestox,iRIS,Centreville,AL,5813,yes,Presto-X
35043,94,Alabama Pest,17,Prestox,iRIS,Chelsea,AL,10584,yes,Presto-X
35045,217,New Orleans Pest,17,Prestox,iRIS,Clanton,AL,14795,yes,Presto-X
35046,94,Alabama Pest,17,Prestox,iRIS,Clanton,AL,5028,yes,Presto-X
35048,94,Alabama Pest,17,Prestox,iRIS,Clay,AL,0,yes,Presto-X
35049,94,Alabama Pest,17,Prestox,iRIS,Cleveland,AL,3726,yes,Presto-X
35052,94,Alabama Pest,17,Prestox,iRIS,Cook Springs,AL,263,yes,Presto-X
35053,94,Alabama Pest,17,Prestox,iRIS,Crane Hill,AL,2614,yes,Presto-X
35054,94,Alabama Pest,17,Prestox,iRIS,Cropwell,AL,3974,yes,Presto-X
35056,94,Alabama Pest,17,Prestox,iRIS,Cullman,AL,0,yes,Presto-X
35058,94,Alabama Pest,17,Prestox,iRIS,Cullman,AL,9441,yes,Presto-X
35060,94,Alabama Pest,17,Prestox,iRIS,Docena,AL,306,yes,Presto-X
35061,94,Alabama Pest,17,Prestox,iRIS,Dolomite,AL,1381,yes,Presto-X
35062,94,Alabama Pest,17,Prestox,iRIS,Dora,AL,7670,yes,Presto-X
35063,94,Alabama Pest,17,Prestox,iRIS,Empire,AL,3879,yes,Presto-X
35064,94,Alabama Pest,17,Prestox,iRIS,Fairfield,AL,11392,yes,Presto-X
35070,94,Alabama Pest,17,Prestox,iRIS,Garden City,AL,276,yes,Presto-X
35072,94,Alabama Pest,17,Prestox,iRIS,Goodwater,AL,4647,yes,Presto-X
35073,94,Alabama Pest,17,Prestox,iRIS,Graysville,AL,2213,yes,Presto-X
35074,94,Alabama Pest,17,Prestox,iRIS,Green Pond,AL,0,yes,Presto-X
35077,94,Alabama Pest,17,Prestox,iRIS,Hanceville,AL,12676,yes,Presto-X
35078,94,Alabama Pest,17,Prestox,iRIS,Harpersville,AL,2207,yes,Presto-X
35079,94,Alabama Pest,17,Prestox,iRIS,Hayden,AL,8647,yes,Presto-X
35082,94,Alabama Pest,17,Prestox,iRIS,Hollins,AL,0,yes,Presto-X
35083,94,Alabama Pest,17,Prestox,iRIS,Holly Pond,AL,3611,yes,Presto-X
35085,94,Alabama Pest,17,Prestox,iRIS,Jemison,AL,8646,yes,Presto-X
35087,94,Alabama Pest,17,Prestox,iRIS,Joppa,AL,1688,yes,Presto-X
35089,94,Alabama Pest,17,Prestox,iRIS,Kellyton,AL,1795,yes,Presto-X
35091,94,Alabama Pest,17,Prestox,iRIS,Kimberly,AL,3010,yes,Presto-X
35097,94,Alabama Pest,17,Prestox,iRIS,Locust Fork,AL,2082,yes,Presto-X
35098,94,Alabama Pest,17,Prestox,iRIS,Logan,AL,1208,yes,Presto-X
35112,94,Alabama Pest,17,Prestox,iRIS,Margaret,AL,306,yes,Presto-X
35114,94,Alabama Pest,17,Prestox,iRIS,Alabaster,AL,8053,yes,Presto-X
35116,94,Alabama Pest,17,Prestox,iRIS,Morris,AL,4113,yes,Presto-X
35117,94,Alabama Pest,17,Prestox,iRIS,Mount Olive,AL,5359,yes,Presto-X
35118,94,Alabama Pest,17,Prestox,iRIS,Mulga,AL,3182,yes,Presto-X
35119,94,Alabama Pest,17,Prestox,iRIS,New Castle,AL,92,yes,Presto-X
35120,94,Alabama Pest,17,Prestox,iRIS,Odenville,AL,14311,yes,Presto-X
35123,94,Alabama Pest,17,Prestox,iRIS,Palmerdale,AL,0,yes,Presto-X
35128,94,Alabama Pest,17,Prestox,iRIS,Pell City,AL,10187,yes,Presto-X
35130,94,Alabama Pest,17,Prestox,iRIS,Quinton,AL,2959,yes,Presto-X
35131,94,Alabama Pest,17,Prestox,iRIS,Ragland,AL,4388,yes,Presto-X
35133,94,Alabama Pest,17,Prestox,iRIS,Remlap,AL,3058,yes,Presto-X
35135,94,Alabama Pest,17,Prestox,iRIS,Riverside,AL,1618,yes,Presto-X
