1,admissions,www.pdx.edu/admissions,admissions,
2,psuonline,www.pdx.edu/psu-online,psu-online,
3,training,ondeck.pdx.edu/web-training,web-training,
4,gradschool,www.pdx.edu/gradschool,gradschool,
5,honors,www.pdx.edu/honors,honors,
6,housing,www.pdx.edu/housing,housing,
7,president,www.pdx.edu/president,president,
8,research,www.pdx.edu/research,research,
9,informationtechnology,www.pdx.edu/technology,technology,
10,studenthealthcounseling,www.pdx.edu/health-counseling,health-counseling,
11,ondeck,www.pdx.edu,,
12,studentlife,www.pdx.edu/student-life,student-life,
13,accessibility,www.pdx.edu/accessibility,accessibility,
14,studentfinance,www.pdx.edu/student-finance,student-finance,
15,visit,www.pdx.edu/visit,visit,
16,syndication,ondeck.pdx.edu/syndication,syndication,
17,facultyexperts,www.pdx.edu/faculty-experts,faculty-experts,
18,careers,www.pdx.edu/careers,careers,
19,commencement,www.pdx.edu/commencement,commencement,
20,communication,www.pdx.edu/communication,communication,
21,computerscience,www.pdx.edu/computer-science,computer-science,
22,conflictresolution,www.pdx.edu/conflict-resolution,conflict-resolution,
23,coop,www.pdx.edu/co-op,co-op,
24,deanstudentlife,www.pdx.edu/dean-student-life,dean-student-life,
25,economics,www.pdx.edu/economics,economics,
26,educationabroad,www.pdx.edu/education-abroad,education-abroad,
27,engineering,www.pdx.edu/engineering,engineering,
28,englishlanguageprogram,ondeck.pdx.edu/english-language-programs-0,english-language-programs-0,
29,extremeenvironments,www.pdx.edu/extreme-environments,extreme-environments,
30,financialservices,www.pdx.edu/financial-services,financial-services,
31,geographictechnology,ondeck.pdx.edu/geographic-technology,geographic-technology,
32,governmentrelations,www.pdx.edu/government-relations,government-relations,
33,history,www.pdx.edu/history,history,
34,homelessness,www.pdx.edu/homelessness,homelessness,
35,registration,www.pdx.edu/registration,registration,
36,internationalstudents,www.pdx.edu/international-students,international-students,
37,iroquoisdemocracy,www.pdx.edu/iroquois-democracy,iroquois-democracy,
38,jiaolab,www.pdx.edu/jiao-lab,jiao-lab,
39,senioradultlearningcenter,www.pdx.edu/senior-adult-learning-center,senior-adult-learning-center,
40,socialdeterminantshealth,www.pdx.edu/social-determinants-health,social-determinants-health,
41,regionalresearchinstitute,www.pdx.edu/regional-research-institute,regional-research-institute,
42,racialinterventionstoryexch,www.pdx.edu/racial-intervention-story-exchange,racial-intervention-story-exchange,
43,purchasingcontracting,www.pdx.edu/purchasing-contracting,purchasing-contracting,
44,studentaccesscenter,www.pdx.edu/basic-needs-hub,basic-needs-hub,
45,universitycommunications,www.pdx.edu/university-communications,university-communications,
46,universitystudies,www.pdx.edu/university-studies,university-studies,
47,urbanstudiesplanning,www.pdx.edu/urban-studies-planning,urban-studies-planning,
48,judaicstudies,www.pdx.edu/judaic-studies,judaic-studies,
49,liberalartssciences,www.pdx.edu/liberal-arts-sciences,liberal-arts-sciences,
