48001,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Algonac,MI,11840,yes
48002,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Allenton,MI,3236,yes
48003,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Almont,MI,6035,yes
48004,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Anchorville,MI,0,yes
48005,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Armada,MI,5471,yes
48006,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Avoca,MI,3975,yes
48007,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Troy,MI,0,yes
48009,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Birmingham,MI,20653,yes
48012,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Birmingham,MI,0,yes
48014,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Capac,MI,4224,yes
48015,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Center Line,MI,8313,yes
48017,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Clawson,MI,11982,yes
48021,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Eastpointe,MI,32576,yes
48022,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Emmett,MI,2605,yes
48023,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Fair Haven,MI,5083,yes
48025,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Franklin,MI,14762,yes
48026,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Fraser,MI,14620,yes
48027,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Goodells,MI,3201,yes
48028,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Harsens Island,MI,1081,yes
48030,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Hazel Park,MI,16587,yes
48032,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Jeddo,MI,2196,yes
48033,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Southfield,MI,16420,yes
48034,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Southfield,MI,13348,yes
48035,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Clinton Township,MI,35101,yes
48036,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Clinton Township,MI,21830,yes
48037,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Southfield,MI,0,yes
48038,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Clinton Township,MI,42287,yes
48039,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Marine City,MI,7667,yes
48040,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Marysville,MI,9775,yes
48041,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Memphis,MI,4535,yes
48042,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Macomb,MI,29413,yes
48043,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Mount Clemens,MI,16377,yes
48044,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Macomb,MI,55783,yes
48045,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Harrison Township,MI,24907,yes
48046,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,Mount Clemens,MI,0,yes
48047,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,New Baltimore,MI,40290,yes
48048,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,New Haven,MI,7193,yes
48049,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,North Street,MI,5480,yes
48050,239,Detroit Metro - Eradico Pest,19,Eradico,iRIS,New Haven,MI,2068,yes
