"1012873","Anchorage","Anchorage,Anchorage,Alaska,United States","21132","US","City","Active"
"1012874","Anderson","Anderson,Alaska,United States","21132","US","City","Active"
"1012875","Angoon","Angoon,Alaska,United States","21132","US","City","Active"
"1012876","Atqasuk","Atqasuk,Alaska,United States","21132","US","City","Active"
"1012877","Utqiagvik","Utqiagvik,Alaska,United States","21132","US","City","Active"
"1012878","Bethel","Bethel,Bethel,Alaska,United States","21132","US","City","Active"
"1012879","Clear","Clear,Alaska,United States","21132","US","City","Active"
"1012880","Cordova","Cordova,Alaska,United States","21132","US","City","Active"
"1012881","Craig","Craig,Alaska,United States","21132","US","City","Active"
"1012882","Delta Junction","Delta Junction,Alaska,United States","21132","US","City","Active"
"1012883","Dillingham","Dillingham,Dillingham,Alaska,United States","21132","US","City","Active"
"1012884","Eagle River","Eagle River,Alaska,United States","21132","US","Neighborhood","Active"
"1012885","Eielson Air Force Base","Eielson Air Force Base,Alaska,United States","21132","US","City","Active"
"1012886","Elmendorf Air Force Base","Elmendorf Air Force Base,Alaska,United States","21132","US","City","Active"
"1012887","Fairbanks","Fairbanks,Alaska,United States","21132","US","City","Active"
"1012888","Galena","Galena,Alaska,United States","21132","US","City","Active"
"1012889","Girdwood","Girdwood,Alaska,United States","21132","US","Neighborhood","Active"
"1012890","Glennallen","Glennallen,Alaska,United States","21132","US","City","Active"
"1012891","Gustavus","Gustavus,Alaska,United States","21132","US","City","Active"
"1012892","Haines","Haines,Haines,Alaska,United States","21132","US","City","Active"
"1012893","Healy","Healy,Alaska,United States","21132","US","City","Active"
"1012894","Homer","Homer,Alaska,United States","21132","US","City","Active"
"1012895","Hoonah","Hoonah,Alaska,United States","21132","US","City","Active"
"1012896","Juneau","Juneau,Juneau,Alaska,United States","21132","US","City","Active"
"1012897","Kenai","Kenai,Alaska,United States","21132","US","City","Active"
"1012898","Ketchikan","Ketchikan,Alaska,United States","21132","US","City","Active"
"1012899","Klawock","Klawock,Alaska,United States","21132","US","City","Active"
"1012900","Kodiak","Kodiak,Alaska,United States","21132","US","City","Active"
"1012901","Kotzebue","Kotzebue,Alaska,United States","21132","US","City","Active"
